gene_id	normalized_count	barcode	tissue_type
ADAM12|8038	24.7934	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM15|8751	1575.7576	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM17|6868	161.1570	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM18|8749	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM19|8728	128.0992	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM20|8748	2.7548	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM21P1|145241	2.7548	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM21|8747	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM22|53616	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM23|8745	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM28|10863	23.4160	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM29|11086	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM2|2515	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM30|11085	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM32|203102	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM33|80332	48.2094	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM3A|1587	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM5P|255926	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM6|8755	28974.0220	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM7|8756	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM8|101	279.6143	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM9|8754	639.1185	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMDEC1|27299	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS10|81794	258.9532	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS12|81792	28.9256	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS13|11093	1764.4628	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS14|140766	8.2645	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS15|170689	16.5289	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS16|170690	35.8127	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS17|170691	188.7052	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS18|170692	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS19|171019	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS1|9510	1479.3388	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS20|80070	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS2|9509	494.4904	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS3|9508	23.4160	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS4|9507	258.9532	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS5|11096	158.4022	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS6|11174	11.0193	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS7|11173	147.3829	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS8|11095	6.8871	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTS9|56999	122.5895	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTSL1|92949	79.8898	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTSL2|9719	3750.6887	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTSL3|57188	840.2204	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTSL4|54507	1566.1157	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAMTSL5|339366	86.7769	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAP1|11033	255.0689	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAP2|55803	425.6198	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADARB1|104	458.6777	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADARB2|105	6.8871	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAR|103	4165.2893	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAT1|23536	71.6253	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
